time_s,tcp_x,tcp_y,tcp_z,waypoint,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,tau0,tau1,tau2,tau3,tau4,tau5,jerk_x,jerk_y,jerk_z
5.500000,0.750000,0.000000,0.400000,3,0.000000,-0.824313,0.000000,-0.560000,-0.000000,-1.120000,-0.178682,-0.853844,0.439979,-1.156929,-1.570797,-0.178678,-1.099036,-0.000022,0.000046,-0.000024,-0.000003,-1.099036,0.164812,-44.478914,-16.980700,-1.586825,-0.005750,0.000000,1.200000,1.650000,2.400000
5.550000,0.749275,-0.041216,0.398550,0,-0.028000,-0.822250,-0.056000,-0.535000,0.082500,-1.070000,-0.233536,-0.854944,0.445967,-1.161817,-1.570797,-0.233532,-1.091919,-0.032864,0.213623,-0.180760,-0.000003,-1.091919,0.376523,-44.364581,-17.083130,-1.595996,-0.002487,0.000000,1.200000,1.650000,2.400000
5.600000,0.747200,-0.082225,0.394400,0,-0.053500,-0.816062,-0.107000,-0.480000,0.165000,-0.960000,-0.287874,-0.857130,0.461342,-1.175005,-1.570797,-0.287870,-1.078126,-0.038213,0.362877,-0.324665,-0.000003,-1.078126,0.531090,-44.133949,-17.323989,-1.617352,0.001212,0.000000,1.200000,1.650000,2.400000
5.650000,0.743925,-0.122822,0.387850,0,-0.076000,-0.805750,-0.152000,-0.420000,0.247500,-0.840000,-0.341348,-0.858765,0.482255,-1.194284,-1.570797,-0.341345,-1.057293,-0.013569,0.440325,-0.426758,-0.000003,-1.057293,0.679093,-44.028197,-17.624199,-1.640968,0.005192,0.000000,1.200000,1.650000,2.400000
5.700000,0.739600,-0.162800,0.379200,0,-0.095500,-0.791313,-0.191000,-0.360000,0.330000,-0.720000,-0.393603,-0.858487,0.505374,-1.217681,-1.570797,-0.393600,-1.029403,0.034320,0.458541,-0.492862,-0.000003,-1.029403,0.844429,-44.147111,-17.955674,-1.664462,0.009376,0.000000,1.200000,1.650000,2.400000
5.750000,0.734375,-0.201953,0.368750,0,-0.112000,-0.772750,-0.224000,-0.300000,0.412500,-0.600000,-0.444289,-0.855333,0.528109,-1.243570,-1.570797,-0.444285,-0.994693,0.097598,0.432049,-0.529648,-0.000002,-0.994693,1.038061,-44.511171,-18.304569,-1.687580,0.013726,0.000000,1.200000,1.650000,2.400000
5.800000,0.728400,-0.240075,0.356800,0,-0.125500,-0.750063,-0.251000,-0.240000,0.495000,-0.480000,-0.493072,-0.848727,0.548579,-1.270646,-1.570798,-0.493069,-0.953611,0.169062,0.373866,-0.542929,-0.000002,-0.953611,1.266359,-45.110919,-18.659373,-1.710191,0.018210,0.000000,1.200000,1.650000,2.400000
5.850000,0.721825,-0.276959,0.343650,0,-0.136000,-0.723250,-0.272000,-0.180000,0.577500,-0.360000,-0.539650,-0.838427,0.565496,-1.297863,-1.570798,-0.539646,-0.906765,0.242654,0.294664,-0.537319,-0.000002,-0.906765,1.532671,-45.924626,-19.011486,-1.732272,0.022798,0.000000,1.200000,1.650000,2.400000
5.900000,0.714800,-0.312400,0.329600,0,-0.143500,-0.692312,-0.287000,-0.120000,0.660000,-0.240000,-0.583749,-0.824462,0.578046,-1.324378,-1.570798,-0.583745,-0.854858,0.313413,0.203062,-0.516476,-0.000002,-0.854858,1.838252,-46.926023,-19.355099,-1.753854,0.027464,0.000000,1.200000,1.650000,2.400000
5.950000,0.707475,-0.346191,0.314950,0,-0.148000,-0.657250,-0.296000,-0.060000,0.742500,-0.120000,-0.625136,-0.807085,0.585802,-1.349511,-1.570798,-0.625132,-0.798620,0.377266,0.106194,-0.483461,-0.000002,-0.798620,2.182655,-48.086927,-19.686840,-1.775003,0.032188,-0.000000,1.200000,1.650000,2.400000
6.000000,0.700000,-0.378125,0.300000,0,-0.149500,-0.618063,-0.299000,-0.000000,0.825000,0.000000,-0.663611,-0.786735,0.588665,-1.372724,-1.570798,-0.663607,-0.738747,0.430827,0.010227,-0.441056,-0.000002,-0.738747,2.563926,-49.378104,-20.005360,-1.795793,0.036955,-0.000000,1.200000,1.650000,2.400000
6.050000,0.692525,-0.407997,0.285050,0,-0.148000,-0.574750,-0.296000,0.060000,0.907500,0.120000,-0.699010,-0.764003,0.586825,-1.393616,-1.570798,-0.699007,-0.675852,0.471237,-0.079275,-0.391963,-0.000001,-0.675852,2.978754,-50.769696,-20.310880,-1.816306,0.041755,-0.000000,1.200000,1.650000,2.400000
6.100000,0.685200,-0.435600,0.270400,0,-0.143500,-0.527312,-0.287000,0.120000,0.990000,0.240000,-0.731196,-0.739611,0.580737,-1.411920,-1.570798,-0.731193,-0.610421,0.496036,-0.157119,-0.338918,-0.000001,-0.610421,3.422672,-52.231502,-20.604727,-1.836625,0.046585,-0.000000,1.200000,1.650000,2.400000
6.150000,0.678175,-0.460728,0.256350,0,-0.136000,-0.475750,-0.272000,0.180000,1.072500,0.360000,-0.760052,-0.714399,0.571113,-1.427508,-1.570798,-0.760049,-0.542789,0.503087,-0.218394,-0.284694,-0.000001,-0.542789,3.890290,-53.732906,-20.888859,-1.856832,0.051449,-0.000000,1.200000,1.650000,2.400000
6.200000,0.671600,-0.483175,0.243200,0,-0.125500,-0.420063,-0.251000,0.240000,1.155000,0.480000,-0.785475,-0.689303,0.558898,-1.440390,-1.570798,-0.785471,-0.473121,0.490561,-0.258568,-0.231994,-0.000001,-0.473121,4.375539,-55.242104,-21.165417,-1.877009,0.056355,-0.000000,1.200000,1.650000,2.400000
6.250000,0.665625,-0.502734,0.231250,0,-0.112000,-0.360250,-0.224000,0.300000,1.237500,0.600000,-0.807365,-0.665343,0.545256,-1.450707,-1.570798,-0.807361,-0.401409,0.457040,-0.273817,-0.183223,-0.000001,-0.401409,4.871899,-56.724335,-21.436316,-1.897234,0.061317,-0.000000,1.200000,1.650000,2.400000
6.300000,0.660400,-0.519200,0.220800,0,-0.095500,-0.296313,-0.191000,0.360000,1.320000,0.720000,-0.825616,-0.643599,0.531516,-1.458712,-1.570798,-0.825612,-0.327458,0.401775,-0.261709,-0.140067,-0.000001,-0.327458,5.362720,-58.182068,-21.699871,-1.916584,0.066095,0.000000,1.200000,1.650000,2.400000
6.350000,0.656075,-0.532366,0.212150,0,-0.076000,-0.228250,-0.152000,0.420000,1.402500,0.840000,-0.840110,-0.625165,0.519085,-1.464714,-1.570798,-0.840107,-0.251444,0.320678,-0.213188,-0.107491,-0.000000,-0.251444,5.868247,-59.457603,-21.965539,-1.937836,0.071410,0.000000,1.200000,1.650000,2.400000
6.400000,0.652800,-0.542025,0.205600,0,-0.053500,-0.156062,-0.107000,0.480000,1.485000,0.960000,-0.850760,-0.611531,0.510198,-1.469461,-1.570798,-0.850757,-0.171371,0.227504,-0.155575,-0.071930,-0.000000,-0.171371,6.379408,-60.472071,-22.228918,-1.960559,0.077269,-0.000000,1.200000,1.650000,2.400000
6.450000,0.650725,-0.547972,0.201450,0,-0.028000,-0.079750,-0.056000,0.172500,1.352917,0.949167,-0.857247,-0.602415,0.503528,-1.471907,-1.570798,-0.857244,-0.086980,0.122922,-0.090070,-0.032851,-0.000000,-0.086981,5.162947,-61.713400,-22.246353,-1.951284,0.058474,-0.000000,1.200000,1.650000,2.400000
6.500000,0.650000,-0.550000,0.200000,4,-0.036250,-0.020771,-0.012083,-0.420000,0.391667,0.326667,-0.859458,-0.599239,0.501191,-1.472746,-1.570798,-0.859455,-0.048649,-0.075060,0.173352,-0.098290,-0.000000,-0.048649,0.243407,-58.515295,-20.971825,-1.856582,-0.003923,0.000000,1.200000,1.650000,2.400000
6.600000,0.645288,-0.551088,0.199638,0,-0.091000,-0.021000,-0.007000,-0.688125,-0.096771,-0.006458,-0.864545,-0.613674,0.529530,-1.486651,-1.570798,-0.864541,-0.099429,-0.253177,0.494238,-0.241061,-0.000000,-0.099429,-2.164334,-56.002465,-20.282336,-1.806216,-0.034048,-0.000000,0.975000,0.225000,0.075000
6.700000,0.631800,-0.554200,0.198600,0,-0.173875,-0.040125,-0.013375,-0.780000,-0.180000,-0.060000,-0.879344,-0.649874,0.600038,-1.520959,-1.570798,-0.879341,-0.193298,-0.430110,0.833409,-0.403301,-0.000000,-0.193299,-2.620918,-54.571839,-20.156807,-1.792366,-0.041196,0.000000,0.975000,0.225000,0.075000
6.800000,0.610513,-0.559113,0.196963,0,-0.247000,-0.057000,-0.019000,-0.682500,-0.157500,-0.052500,-0.903204,-0.699696,0.696212,-1.567311,-1.570798,-0.903201,-0.281809,-0.528367,1.013742,-0.485376,-0.000000,-0.281809,-2.238973,-52.630381,-20.136557,-1.795761,-0.036309,0.000000,0.975000,0.225000,0.075000
6.900000,0.582400,-0.565600,0.194800,0,-0.310375,-0.071625,-0.023875,-0.585000,-0.135000,-0.045000,-0.935706,-0.755547,0.802786,-1.618034,-1.570798,-0.935702,-0.366346,-0.565472,1.072637,-0.507165,-0.000001,-0.366346,-1.867650,-50.587141,-20.101989,-1.801420,-0.031443,0.000000,0.975000,0.225000,0.075000
7.000000,0.548437,-0.573438,0.192188,0,-0.364000,-0.084000,-0.028000,-0.487500,-0.112500,-0.037500,-0.976474,-0.812790,0.910740,-1.668744,-1.570799,-0.976470,-0.446877,-0.564143,1.058453,-0.494312,-0.000001,-0.446877,-1.498968,-48.529916,-20.036947,-1.806714,-0.026469,0.000000,0.975000,0.225000,0.075000
7.100000,0.509600,-0.582400,0.189200,0,-0.407875,-0.094125,-0.031375,-0.390000,-0.090000,-0.030000,-1.025082,-0.868376,1.014477,-1.716896,-1.570799,-1.025078,-0.522338,-0.536581,0.997848,-0.461268,-0.000001,-0.522338,-1.145837,-46.489567,-19.946064,-1.811597,-0.021361,0.000000,0.975000,0.225000,0.075000
7.200000,0.466863,-0.592263,0.185913,0,-0.442000,-0.102000,-0.034000,-0.292500,-0.067500,-0.022500,-1.080941,-0.920107,1.110309,-1.760998,-1.570799,-1.080938,-0.590568,-0.489435,0.905867,-0.416434,-0.000001,-0.590568,-0.814801,-44.528325,-19.837694,-1.815981,-0.016103,0.000000,0.975000,0.225000,0.075000
7.300000,0.421200,-0.602800,0.182400,0,-0.466375,-0.107625,-0.035875,-0.195000,-0.045000,-0.015000,-1.143195,-0.966263,1.195651,-1.800183,-1.570799,-1.143192,-0.648453,-0.426788,0.791783,-0.364997,-0.000001,-0.648453,-0.508394,-42.724357,-19.721018,-1.819790,-0.010712,0.000000,0.975000,0.225000,0.075000
7.400000,0.373587,-0.613787,0.178737,0,-0.481000,-0.111000,-0.037000,-0.097500,-0.022500,-0.007500,-1.210632,-1.005464,1.268666,-1.833997,-1.570799,-1.210628,-0.692286,-0.352044,0.662507,-0.310465,-0.000001,-0.692286,-0.224588,-41.159104,-19.603836,-1.822920,-0.005230,-0.000000,0.975000,0.225000,0.075000
7.500000,0.325000,-0.625000,0.175000,0,-0.485875,-0.112125,-0.037375,-0.000000,0.000000,-0.000000,-1.281652,-1.036672,1.328152,-1.862276,-1.570799,-1.281649,-0.718376,-0.269017,0.524379,-0.255364,-0.000001,-0.718376,0.043307,-39.905306,-19.491777,-1.825255,0.000291,0.000000,0.975000,0.225000,0.075000
7.600000,0.276412,-0.636212,0.171262,0,-0.481000,-0.111000,-0.037000,0.097500,0.022500,0.007500,-1.354307,-1.059268,1.373542,-1.885070,-1.570799,-1.354304,-0.723811,-0.182436,0.384012,-0.201578,-0.000000,-0.723811,0.305639,-39.015835,-19.388491,-1.826698,0.005801,0.000000,0.975000,0.225000,0.075000
7.700000,0.228800,-0.647200,0.167600,0,-0.466375,-0.107625,-0.035875,0.195000,0.045000,0.015000,-1.426415,-1.073159,1.404954,-1.902591,-1.570799,-1.426411,-0.707151,-0.097903,0.248488,-0.150587,-0.000000,-0.707151,0.574103,-38.514377,-19.296414,-1.827215,0.011266,0.000000,0.975000,0.225000,0.075000
7.800000,0.183138,-0.657737,0.164087,0,-0.442000,-0.102000,-0.034000,0.292500,0.067500,0.022500,-1.495737,-1.078848,1.423239,-1.915187,-1.570799,-1.495734,-0.668782,-0.021409,0.125133,-0.103725,-0.000000,-0.668782,0.858742,-38.390027,-19.217527,-1.826869,0.016661,0.000000,0.975000,0.225000,0.075000
7.900000,0.140400,-0.667600,0.160800,0,-0.407875,-0.094125,-0.031375,0.390000,0.090000,0.030000,-1.560171,-1.077441,1.429981,-1.923336,-1.570799,-1.560167,-0.610753,0.041409,0.021014,-0.062424,-0.000000,-0.610753,1.165459,-38.597403,-19.153564,-1.825819,0.021969,0.000000,0.975000,0.225000,0.075000
8.000000,0.101562,-0.676562,0.157812,0,-0.364000,-0.084000,-0.028000,0.487500,0.112500,0.037500,-1.617888,-1.070566,1.427442,-1.927672,-1.570799,-1.617885,-0.536154,0.085996,-0.057685,-0.028313,0.000000,-0.536154,1.494944,-39.062182,-19.105557,-1.824287,0.027177,0.000000,0.975000,0.225000,0.075000
8.100000,0.067600,-0.684400,0.155200,0,-0.310375,-0.071625,-0.023875,0.585000,0.135000,0.045000,-1.667402,-1.060241,1.418444,-1.928999,-1.570799,-1.667398,-0.448258,0.109383,-0.106310,-0.003075,0.000000,-0.448258,1.843196,-39.690098,-19.073070,-1.822508,0.032282,0.000000,0.975000,0.225000,0.075000
8.200000,0.039488,-0.690887,0.153037,0,-0.247000,-0.057000,-0.019000,0.682500,0.157500,0.052500,-1.707540,-1.048690,1.406180,-1.928287,-1.570799,-1.707536,-0.349727,0.110444,-0.122391,0.011946,0.000000,-0.349727,2.203002,-40.376783,-19.053706,-1.820700,0.037311,-0.000000,0.975000,0.225000,0.075000
8.300000,0.018200,-0.695800,0.151400,0,-0.173875,-0.040125,-0.013375,0.780000,0.180000,0.060000,-1.737347,-1.038153,1.393966,-1.926610,-1.570799,-1.737344,-0.242046,0.090025,-0.106358,0.016333,0.000000,-0.242046,2.565104,-41.017714,-19.042955,-1.819013,0.042305,0.000000,0.975000,0.225000,0.075000
8.400000,0.004712,-0.698913,0.150362,0,-0.091000,-0.021000,-0.007000,0.633750,0.146250,0.048750,-1.755949,-1.030685,1.384909,-1.925020,-1.570799,-1.755945,-0.125306,0.050919,-0.062007,0.011087,0.000000,-0.125306,2.110991,-41.179519,-19.062048,-1.819924,0.034316,0.000000,0.975000,0.225000,0.075000
8.500000,-0.000000,-0.700000,0.150000,5,-0.047125,-0.010875,-0.003625,0.438750,0.101250,0.033750,-1.762408,-1.027969,1.381564,-1.924392,-1.570799,-1.762405,-0.064594,0.027160,-0.033442,0.006282,-0.000000,-0.064594,1.465965,-41.047734,-19.081703,-1.821359,0.023686,0.000000,0.975000,0.225000,0.075000
